objectid,filename,format,filename_old,title,creator,description,source,poem_phrase_link
shards_002,shards_002.mp3,audio/mp3,Typed Text.mp3,Typed Text,Samson Matthews,"An audio file of the typing out of the poem ""What Glass Shards Are Called"" and the subsequent sounds made using the audio samples assembled for the composition.",recorded in Samson's home with a Zoom H4n Handy Recorder.,
shards_001,shards_001.m4a,audio/m4a,What Glass Shards Are Called.m4a,"Spoken text of ""What Glass Shards Are Called""",Emmy Newman,"An audio file of Emmy Newman reading her poem ""What Glass Shards Are Called"".",recorded by Emmy Newman.,
shards_033,shards_033.mp3,audio/mp3,Altered Audio Read-through.mp3,"""What Glass Shards Are Called"" altered audio read through",Emmy Newman; Samson Matthews,,spoken text recorded by Emmy Newman and remixed by Samson Matthews.,
shards_003,shards_003.m4a,audio/m4a,All.m4a,Glass Break 1,Emmy Newman,An audio sample of glass breaks from the glass studio of Emmy's father that is described in the studio.,recorded in Emmy's Father's glass studio,"Line 1, ""What Glass Shards Are Called"""
shards_004,shards_004.m4a,audio/m4a,Cut and Break.m4a,Glass Break 2,Emmy Newman,Another audio sample of glass breaks from the glass studio of Emmy's father that is described in the studio.,recorded in Emmy's Father's glass studio,"Line 3, ""molten glass dipped into water will shatter"""
shards_005,shards_005.mp3,audio/mp3,Glass Pour 2.wav,Salt Pour,Samson Matthews,An audio sample of salt being poured onto a plate to imitate the sound of glass shards being poured.,recorded in Samson's kitchen with a Zoom H4n Handy Recorder,"Line 33, ""I cup my hands and he fills the bowl"""
shards_006,shards_006.mp3,audio/mp3,buzz.wav,Buzzcut,Samson Matthews,An audio sample of Samson cutting their partner's hair using a pair of hair clippers.,recorded in Samson's bathroom with a Zoom H4n Handy Recorder.,"Line 22, ""His father used to buzzcut his hair"""
shards_007,shards_007.mp3,audio/mp3,leaf gutters.wav,Leaf Gutters,Samson Matthews,An audio sample of Samson stuffing leaves and torn paper into a rain gutter.,recorded outdoors with a Zoom H4n Handy Recorder,"Line 16, ""rain gutters crammed with leaves"""
shards_008,shards_008.mp3,audio/mp3,Rice Water.wav,Rice Water,Samson Matthews,An audio sample of Samson washing out a pot of rice and placing it in the dishwasher,recorded in Samson's kitchen with a Zoom H4n Handy Recorder,"Line 15, ""after washing out a pot of burned rice"""
shards_009,a-sound.mp3,audio/mp3,a-sound.mp3,"""a"" sound",Samson Matthews,"A segment of the ""Salt Pour"" audio file with an added audio effect called 'harmonics' in the delay section in Ableton Live.  This sound is correlated with the letter ""a"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""a"", Secondary Link: Line 33, ""I cup my hands and he fills the bowl"""
shards_010,b-sound.mp3,audio/mp3,b-sound.mp3,"""b"" sound",Samson Matthews,"A segment of the ""Glass Break 1"" audio file. No further effects were added. This sound is correlated with the letter ""b"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""b"", Secondary Link: Line 1, ""What Glass Shards Are Called"""
shards_011,c-sound.mp3,audio/mp3,c-sound.mp3,"""c"" sound",Samson Matthews,"A segment of the ""Leaf Gutters"" audio file. No further effects were added. This sound is correlated with the letter ""c"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""c"", Secondary Link: Line 16, ""rain gutters crammed with leaves"""
shards_012,d-sound.mp3,audio/mp3,d-sound.mp3,"""d"" sound",Samson Matthews,"A new segment of the ""Glass Break 1"" audio file, different than ""b"" sound. No further effects were added. This sound is correlated with the letter ""d"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""d"", Secondary Link: Line 1, ""What Glass Shards Are Called"""
shards_013,e-sound.mp3,audio/mp3,e-sound.mp3,"""e"" sound",Samson Matthews,"A segment of the ""Glass Break 2"" audio file, with an added audio effect from Ableton Live.  This sound is correlated with the letter ""e"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""e"", Secondary Link: Line 3, ""molten glass dipped into water will shatter"""
shards_014,f-sound.mp3,audio/mp3,f-sound.mp3,"""f"" sound",Samson Matthews,"A segment of the ""Rice Water"" audio file.  No further effects were added. This sound is correlated with the letter ""f"" sound.",Edited with and exported from Abletone Live.,"Primary LInk: Each occurrence of the letter ""f"", Secondary Link: Line 15, ""after washing out a pot of burned rice"""
shards_015,g-sound.mp3,audio/mp3,g-sound.mp3,"""g"" sound",Samson Matthews,"A new segment of the ""Glass Break 2"" audio file. No further effects were added. This sound is correlated with the letter ""g"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""g"", Secondary Link: Line 3, ""molten glass dipped into water will shatter"""
shards_016,h-sound.mp3,audio/mp3,h-sound.mp3,"""h"" sound",Samson Matthews,"A segment of ""Glass Break 1"" audio, slowed down slightly, with an added spatial audio effect. This sound is correlated with the letter ""h"" on the computer keyboard.",Edited with and exported from Abletone Live.,"Primary Link: Each occurrence of the letter ""h"", Secondary Link: Line 1, ""What Glass Shards Are Called"""
